CommitHash,Author,Date,FilesChanged,Insertions,Deletions,Message
dbf3c6a,MadhavArora1213,2026-01-23,5,54,7,"correct"
9e4c7a7,MadhavArora1213,2026-01-22,5,129,46,"update skeleton loading"
0040542,MadhavArora1213,2026-01-22,1,4,2,"blog"
9a3a4af,MadhavArora1213,2026-01-22,4,12,20,"correct code"
90d39a6,MadhavArora1213,2026-01-22,9,421,561,"correct"
a6c0ba5,MadhavArora1213,2026-01-22,3,22,12,"feat: Add career listing and detail pages with filtering, sorting, and translation capabilities."
5d67bd4,MadhavArora1213,2026-01-22,7,31,11,"correct"
ed9e1f2,MadhavArora1213,2026-01-22,10,651,117,"correct"
59d5fbe,MadhavArora1213,2026-01-22,3,15,4,"correcyt"
81d9434,MadhavArora1213,2026-01-22,5,163,29,"feat: Add text translation functionality with Node.js API, Python backend using `deep-translator`, and Redis caching."
e317243,MadhavArora1213,2026-01-22,1,304,303,"feat: Add BlogDetailPage component for displaying individual blog posts with content, metadata, related articles, and translation support."
7a40973,MadhavArora1213,2026-01-22,10,692,364,"feat: Add blog and career detail/listing pages with internationalization support."
6a861d0,MadhavArora1213,2026-01-22,9,538,181,"feat: Implement internationalization with new locale files and introduce Event Enquiry, Brands & People, and Press Guidelines pages."
c5f5cb3,MadhavArora1213,2026-01-22,10,1049,454,"feat: Add new About Us, CSR, Contact Us, and Services Overview pages with initial internationalization support for multiple languages."
f688bd1,MadhavArora1213,2026-01-22,5,150,150,"feat: Add Chinese, Arabic, French, Hindi, and Russian language translations."
9275f94,MadhavArora1213,2026-01-22,9,798,380,"feat: Add new pages for Reselling Agreement, Data Protection, and Trademark Policy, and implement internationalization with multiple language files."
6430988,MadhavArora1213,2026-01-21,8,732,167,"updated"
0a3d75f,MadhavArora1213,2026-01-21,8,346,56,"update privacy and cookie policy"
de3695b,MadhavArora1213,2026-01-21,6,35,18,"update"
0fb0d1c,MadhavArora1213,2026-01-21,6,74,71,"update json files"
114a34c,MadhavArora1213,2026-01-21,5,31,31,"correcr"
9535bc1,MadhavArora1213,2026-01-21,6,21,21,"feat: Add new localization files for Hindi, Russian, Chinese, Arabic, English, and French."
febf85a,MadhavArora1213,2026-01-21,5,25,0,"feat: Add French, Hindi, Russian, Chinese, and Arabic locale files."
